Index,FTSEMIB.MI.Open,FTSEMIB.MI.High,FTSEMIB.MI.Low,FTSEMIB.MI.Close,FTSEMIB.MI.Volume,FTSEMIB.MI.Adjusted
22/01/2020,23888,23907,23680,23706,424389000,23706
23/01/2020,23716,23901,23611,23707,379431100,23707
24/01/2020,23848,24083,23848,23969,368587000,23969
27/01/2020,23713,23978,23384,23416,506925600,23416
28/01/2020,23545,24028,23429,24028,428294600,24028
29/01/2020,24053,24198,23969,24165,356515300,24165
30/01/2020,23892,23983,23688,23781,454729400,23781
31/01/2020,23863,23873,23208,23237,557656600,23237
3/02/2020,23297,23466,23219,23460,363184200,23460
4/02/2020,23573,23901,23542,23845,479889400,23845
5/02/2020,23816,24270,23746,24237,564241000,24237
6/02/2020,24348,24514,24338,24490,531888100,24490
7/02/2020,24465,24523,24372,24478,411437000,24478
10/02/2020,24437,24585,24389,24508,297204400,24508
11/02/2020,24617,24763,24534,24689,405685400,24689
12/02/2020,24738,24902,24735,24861,462480100,24861
13/02/2020,24769,24892,24588,24892,526068000,24892
14/02/2020,24942,24983,24832,24867,341383900,24867
17/02/2020,24962,25121,24903,25121,0,25121
18/02/2020,24986,25389,24970,25224,737036300,25224
19/02/2020,25353,25483,25272,25478,464703000,25478
20/02/2020,25415,25420,25080,25080,445153900,25080
21/02/2020,24979,25130,24670,24773,638705500,24773
24/02/2020,23919,24005,23255,23427,977128300,23427
25/02/2020,23586,23630,23046,23090,664950800,23090
26/02/2020,22961,23600,22638,23423,737757000,23423
27/02/2020,22969,23078,22480,22799,781145900,22799
28/02/2020,22059,22335,21698,21984,1052025600,21984
2/03/2020,22333,22361,21119,21655,924414500,21655
3/03/2020,22116,22340,21651,21748,799970700,21748
4/03/2020,21740,22204,21500,21946,724365300,21946
5/03/2020,22012,22035,21362,21555,772854700,21555
6/03/2020,20987,21151,20624,20800,864917500,20800
9/03/2020,20781,20781,18346,18476,1272046600,18476
10/03/2020,18654,19175,17772,17870,1096966400,17870
11/03/2020,18172,18410,17675,17929,916163300,17929
12/03/2020,17654,17660,14894,14894,1535614400,14894
13/03/2020,15108,17545,15107,15954,1267823900,15954
16/03/2020,15697,15699,14153,14980,1218842000,14980
17/03/2020,15420,15810,14696,15315,1041111800,15315
18/03/2020,14986,15438,14792,15120,796190300,15120
19/03/2020,15417,15844,15038,15467,1016984600,15467
20/03/2020,15773,16180,15617,15732,1222210600,15732
23/03/2020,15318,15789,15092,15560,768024600,15560
24/03/2020,15978,16949,15970,16949,847366000,16949
25/03/2020,17247,17830,16582,17244,906278800,17244
26/03/2020,16877,17369,16835,17369,712229600,17369
27/03/2020,17039,17283,16667,16823,590902100,16823
30/03/2020,16856,16925,16313,16872,551307000,16872
31/03/2020,17097,17292,16695,17051,698055400,17051
1/04/2020,16600,16845,16500,16545,515027400,16545
2/04/2020,16660,16878,16414,16834,580523400,16834
3/04/2020,16742,16791,16384,16384,547565400,16384
6/04/2020,16769,17054,16765,17039,528126600,17039
7/04/2020,17588,17887,17178,17412,679854300,17412
8/04/2020,17212,17406,17196,17381,476312900,17381
9/04/2020,17686,17756,17360,17622,553979400,17622
14/04/2020,17822,17831,17507,17558,443873000,17558
15/04/2020,17455,17543,16719,16719,536650700,16719
16/04/2020,17003,17161,16730,16768,453153600,16768
17/04/2020,17153,17308,16964,17055,469218300,17055
20/04/2020,17144,17155,16786,17064,339570700,17064
21/04/2020,16812,16935,16451,16451,401986500,16451
22/04/2020,16615,16770,16555,16765,347495900,16765
23/04/2020,16925,17145,16778,17011,392978300,17011
24/04/2020,16640,17155,16640,16859,349284500,16859
27/04/2020,17313,17380,17164,17380,307768100,17380
28/04/2020,17428,17941,17413,17677,496793100,17677
29/04/2020,17616,18076,17609,18067,477978500,18067
30/04/2020,18209,18303,17655,17690,597318500,17690
4/05/2020,17157,17345,17036,17036,430626400,17036
5/05/2020,17289,17390,17082,17387,413815000,17387
6/05/2020,17368,17500,17146,17159,330052900,17159
7/05/2020,17256,17363,17094,17245,360975400,17245
8/05/2020,17416,17462,17254,17439,242317800,17439
11/05/2020,17602,17678,17307,17381,279808500,17381
12/05/2020,17394,17602,17394,17559,323340100,17559
13/05/2020,17354,17427,17183,17183,370538600,17183
14/05/2020,17066,17177,16551,16868,435987200,16868
15/05/2020,17055,17124,16792,16852,350474400,16852
18/05/2020,16998,17446,16953,17401,409926900,17401
19/05/2020,17579,17613,16929,17035,837116200,17035
20/05/2020,16990,17248,16674,17213,802296700,17213
21/05/2020,16987,17284,16950,17087,468260800,17087
22/05/2020,16905,17386,16820,17316,488722400,17316
25/05/2020,17451,17596,17304,17596,275240000,17596
26/05/2020,17796,17894,17697,17860,565674900,17860
27/05/2020,17861,18228,17737,17910,796359100,17910
28/05/2020,18081,18414,18046,18351,616898400,18351
29/05/2020,18193,18391,18149,18198,731191700,18198
1/06/2020,18437,18531,18237,18524,459197200,18524
2/06/2020,18676,19053,18569,18971,612512800,18971
3/06/2020,19204,19642,19171,19642,828030700,19642
4/06/2020,19520,19849,19391,19634,814390200,19634
5/06/2020,19904,20198,19869,20188,925086600,20188
8/06/2020,20133,20399,20050,20231,773230400,20231
9/06/2020,20243,20274,19678,19930,779956200,19930
10/06/2020,20096,20181,19694,19758,703770700,19758
11/06/2020,19222,19353,18807,18807,789867400,18807
12/06/2020,18573,19169,18553,18888,610202600,18888
15/06/2020,18303,19065,18303,18969,483442500,18969
16/06/2020,19383,19874,19297,19626,786184600,19626
17/06/2020,19670,19876,19487,19586,575170300,19586
18/06/2020,19562,19815,19332,19486,495706400,19486
19/06/2020,19601,19741,19572,19619,934839800,19619
22/06/2020,19402,19685,19311,19479,421857500,19479
23/06/2020,19626,19885,19551,19842,523455200,19842
24/06/2020,19778,19907,19163,19163,511785200,19163
25/06/2020,19101,19319,18878,19235,491616700,19235
26/06/2020,19442,19549,19124,19124,366134900,19124
29/06/2020,19159,19541,19113,19447,358186700,19447
30/06/2020,19517,19540,19223,19376,414866900,19376
1/07/2020,19452,19455,19013,19331,361833800,19331
2/07/2020,19531,19975,19482,19887,495115800,19887
3/07/2020,19941,19969,19632,19727,289547200,19727
6/07/2020,20121,20223,19928,20032,443634500,20032
7/07/2020,19938,20066,19845,20013,352024500,20013
8/07/2020,19914,20101,19848,19900,327081800,19900
9/07/2020,19993,20008,19502,19506,324855600,19506
10/07/2020,19395,19770,19395,19768,299117400,19768
13/07/2020,20063,20067,19735,20003,449146200,20003
14/07/2020,19799,19900,19677,19880,425475000,19880
15/07/2020,20046,20361,19982,20281,507289700,20281
16/07/2020,20207,20389,20179,20356,483034300,20356
17/07/2020,20414,20427,20264,20419,399015800,20419
20/07/2020,20327,20679,20217,20621,448609300,20621
21/07/2020,20899,21133,20703,20723,642358800,20723
22/07/2020,20689,20797,20509,20599,400283900,20599
23/07/2020,20664,20689,20363,20454,372189300,20454
24/07/2020,20155,20241,19960,20075,378518300,20075
27/07/2020,20034,20163,19914,20020,358176700,20020
28/07/2020,20022,20120,19698,19903,335491900,19903
29/07/2020,19895,19973,19719,19881,359277100,19881
30/07/2020,19926,19976,19116,19228,545919800,19228
31/07/2020,19342,19532,19086,19092,454759400,19092
3/08/2020,19137,19402,18949,19380,411205200,19380
4/08/2020,19532,19658,19377,19614,566864900,19614
5/08/2020,19766,19896,19642,19740,544154400,19740
6/08/2020,19702,19834,19353,19475,642423100,19475
7/08/2020,19429,19564,19251,19516,349794600,19516
10/08/2020,19570,19668,19454,19652,251844900,19652
11/08/2020,19850,20294,19850,20209,486632200,20209
12/08/2020,20172,20463,20151,20437,372877300,20437
13/08/2020,20383,20472,20257,20257,314363800,20257
14/08/2020,20159,20185,19821,20028,296289800,20028
17/08/2020,20101,20123,19853,19950,246143300,19950
18/08/2020,19845,20159,19723,19846,255470500,19846
19/08/2020,19833,20055,19734,20055,221316800,20055
20/08/2020,19827,19921,19719,19767,264922400,19767
21/08/2020,19846,19868,19480,19695,300533200,19695
24/08/2020,19908,20130,19887,20113,304828800,20113
25/08/2020,20256,20368,20030,20030,327848800,20030
26/08/2020,19971,20137,19928,20137,336048100,20137
27/08/2020,20131,20133,19847,19847,479171100,19847
28/08/2020,19953,19992,19687,19841,475736200,19841
31/08/2020,19972,20081,19616,19634,411640300,19634
1/09/2020,19776,19871,19435,19595,429280800,19595
2/09/2020,19713,20036,19672,19858,375861100,19858
3/09/2020,20009,20141,19462,19551,460398600,19551
4/09/2020,19466,19781,19255,19391,470672600,19391
7/09/2020,19530,19757,19480,19738,309461500,19738
8/09/2020,19808,19817,19202,19380,431597700,19380
9/09/2020,19365,19792,19364,19771,378273400,19771
10/09/2020,19786,19971,19692,19820,462606700,19820
11/09/2020,19790,19876,19698,19821,357726000,19821
14/09/2020,19943,19968,19725,19794,270291800,19794
15/09/2020,19831,20043,19718,19957,337754900,19957
16/09/2020,19982,20033,19803,19964,338233900,19964
17/09/2020,19646,19811,19630,19740,444680400,19740
18/09/2020,19685,19790,19510,19525,714073700,19525
21/09/2020,19408,19440,18778,18793,575956100,18793
22/09/2020,18945,19081,18803,18896,384961300,18896
23/09/2020,19080,19232,18930,18930,359846900,18930
24/09/2020,18653,19102,18621,18907,413000800,18907
25/09/2020,18936,18938,18546,18698,404244200,18698
28/09/2020,18953,19173,18903,19160,385654500,19160
29/09/2020,19132,19222,18996,19061,290185600,19061
30/09/2020,18886,19146,18873,19015,343267400,19015
1/10/2020,19177,19271,18970,19062,396385700,19062
2/10/2020,18834,19072,18815,19064,371254100,19064
5/10/2020,19208,19270,19091,19266,380939400,19266
6/10/2020,19333,19520,19195,19430,440230000,19430
7/10/2020,19410,19473,19356,19435,355102000,19435
8/10/2020,19536,19631,19462,19582,366363800,19582
9/10/2020,19592,19683,19476,19595,324307300,19595
12/10/2020,19643,19765,19559,19719,302531800,19719
13/10/2020,19722,19730,19489,19559,351485400,19559
14/10/2020,19576,19738,19516,19608,306627600,19608
15/10/2020,19380,19385,18957,19065,477390500,19065
16/10/2020,19203,19454,19037,19390,447815200,19390
19/10/2020,19476,19585,19310,19374,290278700,19374
20/10/2020,19323,19568,19245,19482,375281300,19482
21/10/2020,19526,19528,19083,19086,392794000,19086
22/10/2020,19086,19171,18856,19077,375503700,19077
23/10/2020,19082,19365,19074,19285,425542700,19285
26/10/2020,18942,19203,18919,18945,415680400,18945
27/10/2020,19011,19011,18647,18655,429077300,18655
