Date,Open,High,Low,Close,Adj Close,Volume
2021-08-05,27526.669922,27741.550781,27526.669922,27728.119141,27728.119141,55900000
2021-08-06,27709.220703,27888.869141,27709.220703,27820.039063,27820.039063,56400000
2021-08-10,27887.029297,28128.609375,27808.539063,27888.150391,27888.150391,61400000
2021-08-11,28045.839844,28146.679688,27974.990234,28070.509766,28070.509766,67100000
2021-08-12,28177.199219,28279.800781,28006.310547,28015.019531,28015.019531,57900000
2021-08-13,28038.960938,28070.000000,27949.330078,27977.150391,27977.150391,55800000
2021-08-16,27806.109375,27833.210938,27427.380859,27523.189453,27523.189453,57200000
2021-08-17,27666.939453,27750.390625,27424.470703,27424.470703,27424.470703,49600000
2021-08-18,27418.080078,27671.570313,27347.769531,27585.910156,27585.910156,50100000
2021-08-19,27398.580078,27504.800781,27255.580078,27281.169922,27281.169922,65100000
2021-08-20,27238.449219,27316.789063,26954.810547,27013.250000,27013.250000,75800000
2021-08-23,27193.099609,27541.630859,27193.099609,27494.240234,27494.240234,56800000
2021-08-24,27653.230469,27817.890625,27653.230469,27732.099609,27732.099609,57100000
2021-08-25,27768.130859,27897.720703,27684.050781,27724.800781,27724.800781,51500000
2021-08-26,27793.630859,27828.279297,27684.500000,27742.289063,27742.289063,48500000
2021-08-27,27581.240234,27670.660156,27481.230469,27641.140625,27641.140625,49200000
2021-08-30,27867.599609,27921.550781,27656.630859,27789.289063,27789.289063,58600000
2021-08-31,27690.769531,28158.949219,27602.210938,28089.539063,28089.539063,75900000
2021-09-01,28179.039063,28457.669922,28179.039063,28451.019531,28451.019531,64800000
2021-09-02,28522.460938,28626.199219,28412.910156,28543.509766,28543.509766,60100000
2021-09-03,28626.480469,29149.650391,28607.869141,29128.109375,29128.109375,74900000
2021-09-06,29501.220703,29705.039063,29469.349609,29659.890625,29659.890625,68300000
2021-09-07,29883.919922,30048.230469,29838.429688,29916.140625,29916.140625,75200000
2021-09-08,29819.550781,30241.869141,29787.130859,30181.210938,30181.210938,82500000
2021-09-09,29959.210938,30097.560547,29909.919922,30008.189453,30008.189453,78800000
2021-09-10,30089.449219,30381.839844,30064.019531,30381.839844,30381.839844,88800000
2021-09-13,30372.019531,30447.369141,30229.009766,30447.369141,30447.369141,64600000
2021-09-14,30584.769531,30795.779297,30504.810547,30670.099609,30670.099609,79100000
2021-09-15,30464.169922,30573.410156,30347.300781,30511.710938,30511.710938,68600000
2021-09-16,30606.150391,30622.390625,30202.509766,30323.339844,30323.339844,69900000
2021-09-17,30387.539063,30541.990234,30358.929688,30500.050781,30500.050781,97900000
2021-09-21,30021.250000,30051.000000,29832.519531,29839.710938,29839.710938,76300000
2021-09-22,29744.730469,29868.099609,29573.880859,29639.400391,29639.400391,69000000
2021-09-24,30141.609375,30276.380859,30110.300781,30248.810547,30248.810547,84600000
2021-09-27,30277.820313,30414.609375,30197.400391,30240.060547,30240.060547,74600000
2021-09-28,30142.380859,30207.630859,30001.990234,30183.960938,30183.960938,89800000
2021-09-29,29611.919922,29679.259766,29329.160156,29544.289063,29544.289063,94700000
2021-09-30,29569.189453,29622.269531,29311.339844,29452.660156,29452.660156,99000000
2021-10-01,29235.109375,29393.669922,28680.730469,28771.070313,28771.070313,82200000
2021-10-04,29044.470703,29046.060547,28343.580078,28444.890625,28444.890625,76400000
2021-10-05,28050.390625,28058.669922,27460.289063,27822.119141,27822.119141,88200000
2021-10-06,28033.910156,28209.820313,27293.619141,27528.869141,27528.869141,100200000
2021-10-07,27665.970703,28015.109375,27607.970703,27678.210938,27678.210938,79600000
2021-10-08,28031.369141,28321.349609,28018.890625,28048.939453,28048.939453,82700000
2021-10-11,27977.570313,28581.359375,27893.320313,28498.199219,28498.199219,72300000
2021-10-12,28458.880859,28468.880859,28166.380859,28230.609375,28230.609375,66300000
2021-10-13,28085.439453,28364.990234,27993.460938,28140.279297,28140.279297,63900000
2021-10-14,28264.410156,28576.679688,28234.009766,28550.929688,28550.929688,64800000
